trial,learning_rate,alpha_loss,batch_size,auc,accuracy,f1_score,sensitivity,specificity,threshold
1,3e-05,0.5,200,0.545679012345679,0.7063310450038138,0.8226623675725472,0.9856512141280354,0.08148148148148149,1.0967299938201904
2,0.003,0.5,64,0.53724824898482,0.7200610221205187,0.8287447503499766,0.9801324503311258,0.1382716049382716,1.47161066532135
3,3e-05,0.5,128,0.5876679475649307,0.7238749046529367,0.830999066293184,0.9823399558498896,0.145679012345679,0.8650417327880859
4,0.003,0.3,200,0.6370125091979396,0.7238749046529367,0.8306828811973808,0.9801324503311258,0.1506172839506173,1.15771484375
5,5e-05,0.3,128,0.6646199547597634,0.7231121281464531,0.8326417704011065,0.9966887417218543,0.1111111111111111,0.5944300889968872
6,3e-05,0.7,200,0.5458725097430028,0.7063310450038138,0.8226623675725472,0.9856512141280354,0.08148148148148149,1.0961374044418335
7,3e-05,0.5,32,0.7445752595862971,0.7376048817696415,0.8300395256916996,0.9271523178807947,0.3135802469135803,0.24592024087905884
8,0.0003,0.3,64,0.6531518273240127,0.7101449275362319,0.8225957049486461,0.9724061810154525,0.12345679012345678,0.26564282178878784
9,3e-05,0.5,128,0.5876352437794675,0.7238749046529367,0.830999066293184,0.9823399558498896,0.145679012345679,0.8647251725196838
10,0.0003,0.7,200,0.6632954514485052,0.7269260106788711,0.8277189605389798,0.9492273730684326,0.22962962962962963,0.33598512411117554
