trial,learning_rate,alpha_loss,batch_size,auc,accuracy,f1_score,sensitivity,specificity,threshold
1,0.0003,0.7,200,0.6355555555555557,0.7,0.6785714285714286,0.6333333333333333,0.7666666666666667,1.5660815238952637
2,3e-05,0.3,200,0.30666666666666664,0.5,0.6666666666666666,1.0,0.0,3.0249438285827637
3,0.0003,0.7,200,0.6355555555555557,0.7,0.6785714285714286,0.6333333333333333,0.7666666666666667,1.566116213798523
4,0.003,0.5,32,0.7288888888888889,0.7333333333333333,0.7419354838709677,0.7666666666666667,0.7,0.6893472671508789
5,3e-05,0.7,200,0.31555555555555553,0.5,0.6666666666666666,1.0,0.0,3.0238571166992188
6,3e-05,0.7,200,0.31555555555555553,0.5,0.6666666666666666,1.0,0.0,3.0239169597625732
7,5e-05,0.7,128,0.29000000000000004,0.5,0.6666666666666666,1.0,0.0,2.0829482078552246
8,0.0003,0.5,64,0.7011111111111112,0.7666666666666667,0.7407407407407407,0.6666666666666666,0.8666666666666667,1.4841985702514648
9,5e-05,0.7,64,0.3688888888888889,0.5,0.6666666666666666,1.0,0.0,1.6311579942703247
10,0.0003,0.5,128,0.6355555555555557,0.7,0.6785714285714286,0.6333333333333333,0.7666666666666667,1.5676543712615967
