trial,learning_rate,alpha_loss,batch_size,auc,accuracy,f1_score,sensitivity,specificity,threshold
1,0.0003,0.7,128,0.6382423843962305,0.6586538461538461,0.7750791974656811,0.941025641025641,0.18803418803418803,0.8682926297187805
2,0.003,0.7,200,0.6797501643655489,0.6282051282051282,0.7698412698412699,0.9948717948717949,0.017094017094017096,0.2925581634044647
3,0.0003,0.7,32,0.6800131492439185,0.657051282051282,0.7793814432989691,0.9692307692307692,0.13675213675213677,0.176375150680542
4,0.0003,0.3,64,0.6691650230111769,0.6426282051282052,0.7767767767767768,0.9948717948717949,0.05555555555555555,0.6224771738052368
5,3e-05,0.3,64,0.6014245014245014,0.625,0.7692307692307693,1.0,0.0,1.2119094133377075
6,0.0003,0.3,64,0.6699101468332237,0.6426282051282052,0.7767767767767768,0.9948717948717949,0.05555555555555555,0.6225789189338684
7,5e-05,0.5,200,0.5949704142011835,0.6330128205128205,0.7716849451645065,0.9923076923076923,0.03418803418803419,1.1614989042282104
8,0.0003,0.7,64,0.6692746000438309,0.6826923076923077,0.7902542372881356,0.9564102564102565,0.2264957264957265,0.1609625220298767
9,0.003,0.3,32,0.6542187157571773,0.6634615384615384,0.7741935483870968,0.9230769230769231,0.23076923076923078,0.018369004130363464
10,0.0003,0.7,200,0.6395682664913434,0.6458333333333334,0.7778894472361809,0.9923076923076923,0.06837606837606838,0.7529603838920593
